time_s,event,group_id,detail
77.1653,MERGE,181,absorbed_group_199
77.5563,SATELLITE_PAIR,200,bacteria_21_24
77.62,MERGE,107,absorbed_group_200
77.9525,PREDATOR_HIT,1,survived
78.6715,SATELLITE_PAIR,201,bacteria_59_87
78.7348,MERGE,4,absorbed_group_201
79.5075,SATELLITE_PAIR,202,bacteria_62_82
79.5721,MERGE,1,absorbed_group_202
79.7,SATELLITE_PAIR,203,bacteria_55_109
79.7645,MERGE,181,absorbed_group_203
79.9582,SATELLITE_PAIR,204,bacteria_80_88
80.0221,MERGE,4,absorbed_group_204
80.4187,SATELLITE_PAIR,205,bacteria_91_110
80.4857,MERGE,4,absorbed_group_205
80.4857,SATELLITE_PAIR,206,bacteria_92_104
80.5527,MERGE,4,absorbed_group_206
80.7518,PREDATOR_HIT,1,survived
81.1523,SATELLITE_PAIR,207,bacteria_50_98
81.2189,MERGE,181,absorbed_group_207
81.7519,SATELLITE_PAIR,208,bacteria_56_60
81.8186,MERGE,4,absorbed_group_208
81.8186,SATELLITE_PAIR,209,bacteria_81_86
81.885,MERGE,1,absorbed_group_209
82.0122,SATELLITE_PAIR,210,bacteria_63_99
82.0749,MERGE,181,absorbed_group_210
82.8374,PREDATOR_HIT,1,survived
83.5887,SATELLITE_PAIR,211,bacteria_83_116
83.5887,SATELLITE_PAIR,212,bacteria_85_120
83.6527,MERGE,1,absorbed_group_212
83.6527,MERGE,4,absorbed_group_211
83.7785,SATELLITE_PAIR,213,bacteria_84_93
83.8414,MERGE,4,absorbed_group_213
84.0957,SATELLITE_PAIR,214,bacteria_103_108
84.159,MERGE,107,absorbed_group_214
85.105,SATELLITE_PAIR,215,bacteria_9_11
85.1685,MERGE,181,absorbed_group_215
85.1685,MERGE,4,absorbed_group_181
85.2347,SATELLITE_PAIR,216,bacteria_8_106
85.298,MERGE,107,absorbed_group_216
85.6861,PREDATOR_HIT,1,survived
86.5001,SATELLITE_PAIR,217,bacteria_21_24
86.5687,MERGE,107,absorbed_group_217
86.8322,PREDATOR_HIT,1,survived
87.8515,SATELLITE_PAIR,218,bacteria_112_115
87.9177,MERGE,1,absorbed_group_218
88.0416,SATELLITE_PAIR,219,bacteria_87_113
88.1031,MERGE,4,absorbed_group_219
88.2279,PREDATOR_HIT,1,survived
88.3571,PREDATOR_HIT,1,survived
88.4204,SATELLITE_PAIR,220,bacteria_91_121
88.4837,MERGE,4,absorbed_group_220
88.6725,PREDATOR_HIT,1,survived
88.862,SATELLITE_PAIR,221,bacteria_89_90
88.9248,MERGE,1,absorbed_group_221
89.2415,MERGE,107,absorbed_group_77
89.2415,SATELLITE_PAIR,222,bacteria_12_55
89.55,SATELLITE_PAIR,223,bacteria_122_124
89.6119,MERGE,4,absorbed_group_223
89.8024,SATELLITE_PAIR,224,bacteria_60_88
89.8664,MERGE,4,absorbed_group_224
90.0542,SATELLITE_PAIR,225,bacteria_98_109
90.1187,MERGE,225,absorbed_group_222
90.4279,PREDATOR_HIT,1,survived
90.9873,SATELLITE_PAIR,226,bacteria_92_95
91.052,MERGE,4,absorbed_group_226
91.8531,SATELLITE_PAIR,227,bacteria_99_114
91.9182,MERGE,4,absorbed_group_227
92.1059,SATELLITE_PAIR,228,bacteria_103_108
92.1685,PREDATOR_HIT,1,killed
92.9696,PREDATOR_HIT,1,survived
94.4995,SATELLITE_PAIR,229,bacteria_21_107
94.5601,MERGE,107,absorbed_group_229
94.5601,SATELLITE_PAIR,230,bacteria_125_127
94.6224,MERGE,107,absorbed_group_230
94.6847,PREDATOR_HIT,1,survived
95.6694,MERGE,107,absorbed_group_228
96.2262,PREDATOR_HIT,1,survived
96.4715,SATELLITE_PAIR,231,bacteria_56_121
96.5353,MERGE,4,absorbed_group_231
97.3932,SATELLITE_PAIR,232,bacteria_8_106
97.5746,SATELLITE_PAIR,233,bacteria_116_124
97.6366,MERGE,4,absorbed_group_233
97.7607,PREDATOR_HIT,1,killed
98.5552,SATELLITE_PAIR,234,bacteria_119_145
98.6184,MERGE,4,absorbed_group_234
99.0465,REJOIN,107,bacterium_96
99.1075,SATELLITE_PAIR,235,bacteria_24_96
99.1695,MERGE,107,absorbed_group_235
99.3538,REJOIN,107,bacterium_96
99.9076,SATELLITE_PAIR,236,bacteria_12_109
99.9699,MERGE,225,absorbed_group_236
99.9699,SATELLITE_PAIR,237,bacteria_95_113
100.033,MERGE,4,absorbed_group_237
100.156,SATELLITE_PAIR,238,bacteria_117_120
100.219,MERGE,1,absorbed_group_238
100.582,PREDATOR_HIT,1,survived
101.561,PREDATOR_HIT,1,survived
102.365,SATELLITE_PAIR,239,bacteria_126_144
102.427,MERGE,4,absorbed_group_239
102.609,SATELLITE_PAIR,240,bacteria_21_125
102.669,MERGE,107,absorbed_group_240
103.103,PREDATOR_HIT,1,survived
103.35,SATELLITE_PAIR,241,bacteria_73_127
103.411,MERGE,107,absorbed_group_241
103.841,SATELLITE_PAIR,242,bacteria_39_148
103.903,MERGE,4,absorbed_group_242
104.583,SATELLITE_PAIR,243,bacteria_121_123
104.645,MERGE,4,absorbed_group_243
105.076,PREDATOR_HIT,1,killed
105.259,SATELLITE_PAIR,244,bacteria_13_108
105.321,MERGE,232,absorbed_group_244
105.446,SATELLITE_PAIR,245,bacteria_8_106
105.507,MERGE,232,absorbed_group_245
105.631,SATELLITE_PAIR,246,bacteria_124_149
105.692,MERGE,4,absorbed_group_246
106.61,SATELLITE_PAIR,247,bacteria_119_122
106.671,MERGE,4,absorbed_group_247
107.534,SATELLITE_PAIR,248,bacteria_96_147
107.595,MERGE,107,absorbed_group_248
110.03,SATELLITE_PAIR,249,bacteria_56_145
110.092,MERGE,4,absorbed_group_249
110.216,SATELLITE_PAIR,250,bacteria_151_152
110.278,MERGE,107,absorbed_group_232
110.34,MERGE,107,absorbed_group_250
